packet,nano,n_play,n_buzz,n_censor,beta_ai,beta_human,dbeta,gap_area,gap_early,gap_end,delta_area,delta_early,delta_end,ai_solve_end,human_solve_end,org_human_minus_ai,org_adv_rank
4,atvPnPQcM0FFyFz6oRh5,5,3,2,3.988,3.241,0.747,0.1896,0.1394,0.222,0.3314,0.5526,0.0152,0.48,0.702,-0.35,83
3,FSlPn89xy82DPpP8gMJD,5,5,0,1.848,1.342,0.506,0.2746,0.2756,0.2582,0.3172,0.4032,0.1352,0.379,0.637,-0.323077,76
2,WcEaILk7JG20ddfSX9JM,5,5,0,4.997,4.543,0.454,0.0985,0.0231,0.2213,0.293,0.4369,0.0088,0.476,0.697,-0.061538,58
3,ZqmYznzm1ets28jyV66W,5,3,2,5.81,5.184,0.626,0.1308,0.0433,0.2206,0.2897,0.4888,0.0086,0.48,0.701,0.215385,38
3,zlBPTJtFek9Wy05AaPTD,5,2,3,5.374,4.618,0.757,0.1634,0.0961,0.2193,0.2828,0.4963,0.0076,0.486,0.706,-0.415385,81
2,LNSFjAxXvMVnSAcBfA2j,5,3,2,6.229,5.718,0.511,0.1093,0.0161,0.2165,0.2643,0.4546,0.0015,0.496,0.712,0.6,9
4,xeQ0nXBIAAoLs1okPf4V,5,4,1,3.838,2.997,0.841,0.2208,0.2054,0.2187,0.2604,0.4634,0.0081,0.491,0.709,0.6,13
2,OPpqTfpP7LdBBFrDeJAO,5,3,2,6.279,5.702,0.577,0.1274,0.0395,0.2155,0.2497,0.4641,0.0001,0.5,0.715,-0.015385,59
5,dYpC7okqKycOB2sUgCQR,1,1,0,8.275,7.797,0.478,0.0323,0.0318,0.0331,0.24,0.2409,0.2383,0.016,0.049,0.615385,
4,Ln23r1ukl5brDWMdHGR0,5,5,0,4.583,3.825,0.758,0.1872,0.1528,0.2155,0.2156,0.4166,0.0003,0.5,0.715,0.083333,41
3,Hc46kNNIrL0CrjR6kddu,5,3,2,5.857,5.062,0.794,0.1724,0.1272,0.2154,0.2001,0.3973,0.0,0.5,0.715,0.6,10
1,Em8Ctxhz4bo7N65jONWg,5,4,1,5.161,4.887,0.274,0.0888,0.0155,0.2204,0.1781,0.265,0.005,0.476,0.697,-0.369231,84
1,LcvtxyoXMR6SDbyJhf4B,5,3,2,2.555,2.279,0.276,0.2096,0.1854,0.2415,0.1594,0.2047,0.0684,0.347,0.588,-0.369231,86
4,lFtMblSONntfsqyh20ka,5,5,0,-1.767,-2.076,0.309,0.1667,0.1641,0.1719,0.1592,0.165,0.1478,0.7,0.872,0.416667,28
1,w2mhA0hWqQ93KzBmqmec,5,2,3,4.048,3.19,0.858,0.2177,0.2136,0.2154,0.1535,0.3089,0.0001,0.5,0.715,-0.369231,87
2,NXltSnhuRcd4K2l1mZHE,5,5,0,3.171,2.347,0.824,0.2328,0.2447,0.2155,0.1469,0.2936,0.0002,0.5,0.715,0.0,42
5,VzrCumSBX87JnIf8ehKt,1,1,0,6.567,6.416,0.151,0.0186,0.0027,0.1925,0.1317,0.1504,0.0321,0.198,0.391,0.923077,
3,hzl498g9RffsMQpA1sRa,5,4,1,0.151,-0.109,0.26,0.2452,0.2481,0.2395,0.1301,0.1426,0.1052,0.485,0.724,0.492308,26
5,piMkTxcl7hSIErHXzovZ,1,1,0,4.322,3.841,0.481,0.189,0.1574,0.2155,0.1201,0.2345,0.0002,0.5,0.715,0.153846,
1,RymSumAaUKDKnumFbZLb,5,3,2,4.263,3.91,0.353,0.1743,0.1259,0.2161,0.1157,0.2143,0.0009,0.497,0.713,0.6,7
1,WWi7fNWTDIPJe3p9Pi2c,5,4,1,1.669,1.274,0.395,0.2454,0.2624,0.2186,0.111,0.1892,0.0081,0.491,0.71,-0.046154,55
4,nDlQGIq6PEEQEOIiSbAf,5,4,1,3.168,2.737,0.43,0.2174,0.2108,0.216,0.102,0.1924,0.0012,0.498,0.714,-0.2,62
1,6EaYU85nVBNW6DcPqaA5,5,5,0,4.718,4.465,0.252,0.1562,0.0921,0.2162,0.0905,0.1659,0.0007,0.496,0.713,0.307692,31
3,Z1PH5PnkeCAYIm1b7Ynk,5,4,1,5.719,5.369,0.35,0.1694,0.1221,0.2154,0.0821,0.1642,0.0,0.5,0.715,-0.169231,69
3,5gmjQXFfMhDfYWopYPRR,5,1,4,3.355,3.059,0.295,0.2066,0.188,0.2167,0.0776,0.1418,0.0018,0.495,0.712,0.2,25
2,EKY1UGSc5TChPU33ARyw,5,3,2,5.572,5.37,0.203,0.1389,0.0621,0.2156,0.0763,0.1427,0.0002,0.499,0.715,-0.169231,68
2,qpQRWF7dpNQAkyozTnz7,5,5,0,5.675,5.489,0.186,0.1344,0.0538,0.2156,0.073,0.1355,0.0002,0.499,0.714,0.307692,32
4,lhD7XUa6TEodN6cfFSzb,5,4,1,5.739,5.618,0.121,0.1194,0.0292,0.2159,0.0549,0.0985,0.0002,0.497,0.713,0.15,40
4,DJPSA5ZzDdNpt5oakqVQ,5,2,3,4.194,4.047,0.147,0.1632,0.1065,0.2161,0.0512,0.094,0.0005,0.497,0.713,-0.516667,90
1,NpuyoBsTcOckEOeIVITg,5,3,2,5.421,5.25,0.171,0.16,0.1033,0.2154,0.0478,0.0931,0.0,0.5,0.715,0.4,17
4,amzwpECJchH2gf3azeJh,5,4,1,4.459,4.373,0.086,0.1177,0.0469,0.2278,0.0472,0.0694,0.0073,0.406,0.634,0.183333,45
2,bM0YFWPHlm9W4BbTBPcT,5,5,0,4.177,3.972,0.205,0.1891,0.1585,0.2154,0.044,0.0868,0.0001,0.5,0.715,0.030769,54
5,f2gHTH1m7ERBnpnPaa3e,1,1,0,4.393,4.297,0.097,0.1506,0.0826,0.2172,0.0377,0.0665,0.0008,0.491,0.708,0.230769,
3,IPrurnAQ4gUyv58ITNHx,5,1,4,4.559,4.429,0.131,0.1765,0.1347,0.2154,0.0311,0.0614,0.0,0.5,0.715,-0.261538,66
3,Wg8cJ7C4f7kEHLehSKAu,5,3,2,3.575,3.489,0.086,0.1742,0.1296,0.2156,0.028,0.0527,0.0001,0.499,0.715,-0.092308,64
2,3SJwpETiqeXeVQQeSL2C,5,1,4,5.263,5.174,0.089,0.1551,0.0938,0.2155,0.027,0.052,0.0,0.5,0.715,-0.415385,80
1,5PMM62rTZCur1sGVOjE4,5,1,4,3.67,3.622,0.048,0.1883,0.1567,0.2156,0.0115,0.0221,0.0001,0.499,0.715,0.2,24
1,GzYzrmbzHeXtPnp56Z10,5,3,2,5.769,5.743,0.025,0.1553,0.0956,0.2154,0.007,0.0137,0.0,0.5,0.715,-0.061538,57
2,BeLRIWMr4JXTcHOWxyUy,5,4,1,3.394,3.351,0.042,0.2019,0.1842,0.2154,0.0069,0.014,0.0,0.5,0.715,-0.2,61
2,EmsEd0XimlqZJSW20BPk,5,5,0,2.543,2.508,0.035,0.2103,0.2014,0.2155,0.0066,0.013,0.0,0.5,0.715,0.338462,34
1,w1r2V5nR5q9pBrSgEi82,5,3,2,5.035,5.024,0.011,0.1465,0.0775,0.2156,0.0038,0.0072,0.0,0.499,0.715,-0.323077,75
3,AJdjjhtK8PcFCMebETh5,5,1,4,5.145,5.135,0.01,0.1638,0.1111,0.2154,0.0024,0.0048,0.0,0.5,0.715,-0.030769,46
4,ftLJXrWhRtZa9W5sPFwP,5,3,2,4.436,4.428,0.009,0.1731,0.1281,0.2155,0.0022,0.0042,0.0,0.499,0.715,0.4,21
1,MEpRrGXZymdGUYb2wAfM,5,2,3,2.905,2.893,0.011,0.208,0.1968,0.2154,0.0018,0.0036,0.0,0.5,0.715,-0.6,95
3,AqgleduJLHjpBkkvNkhC,5,3,2,4.543,4.532,0.011,0.1877,0.1561,0.2154,0.0018,0.0037,0.0,0.5,0.715,0.061538,53
5,bYtiJRSNQ0xjAFD4lUgH,1,1,0,3.621,3.615,0.005,0.1851,0.1485,0.2165,0.0015,0.0027,0.0,0.494,0.71,0.230769,
1,Gwbxzd0ChGS4KynANjU5,5,3,2,5.851,5.853,-0.002,0.1208,0.0316,0.2158,-0.0008,-0.0014,-0.0,0.498,0.714,-0.061538,56
3,LB2uc5AFzP7RRrDwahoJ,5,4,1,5.945,5.949,-0.004,0.1217,0.0328,0.2156,-0.0015,-0.0027,-0.0,0.499,0.714,-0.369231,88
1,5bTYZUD1fC8LxDPNbeBz,5,0,5,5.473,5.486,-0.013,0.1307,0.0484,0.2163,-0.0052,-0.0093,-0.0,0.495,0.711,-0.769231,96
3,fD7iPA1popZRRUN4eZE1,5,2,3,4.283,4.328,-0.046,0.1779,0.1374,0.2154,-0.0104,-0.0204,-0.0,0.5,0.715,-0.723077,98
5,Hmv1RMq59r9VklABzrzn,1,1,0,4.092,4.178,-0.086,0.1851,0.1513,0.2154,-0.0168,-0.0335,-0.0,0.5,0.715,0.0,
1,dqshJgJWfziosu0GhtIh,5,4,1,5.363,5.415,-0.051,0.1441,0.0735,0.2155,-0.0171,-0.0325,-0.0,0.499,0.715,-0.415385,79
2,XgvmgXLeD6vauaKksUTm,5,3,2,5.3,5.372,-0.072,0.1584,0.1011,0.2154,-0.0194,-0.038,-0.0,0.5,0.715,-0.723077,97
5,CRNC5oHzpTDjvGonwNdA,1,1,0,5.525,5.564,-0.039,0.103,0.015,0.217,-0.0205,-0.0344,-0.0003,0.49,0.707,-0.769231,
2,5UqzxUX4qK1CA2UYOByP,5,2,3,6.045,6.107,-0.062,0.1406,0.0683,0.2154,-0.0208,-0.0402,-0.0,0.5,0.715,-0.338462,72
1,vgzdaVOKiGQUuC8gSLqa,5,2,3,2.923,2.988,-0.065,0.1788,0.1376,0.2176,-0.0244,-0.0414,-0.0013,0.486,0.703,-0.492308,89
5,ypEHZxOKGVgBppK2k6fr,1,1,0,3.899,3.978,-0.08,0.1651,0.1111,0.2171,-0.0265,-0.0467,-0.0009,0.49,0.707,0.0,
1,hXDm3m6AEpv2TxJ0HKdZ,5,3,2,5.267,5.372,-0.105,0.1357,0.0577,0.2159,-0.0392,-0.0719,-0.0003,0.497,0.713,-0.569231,93
1,Pv4vwLpJWiSpu6CJVx1x,5,3,2,3.924,4.025,-0.101,0.1504,0.0882,0.2206,-0.0412,-0.0662,-0.004,0.461,0.682,0.4,18
4,U423cT3kEZQrNXlsHNZU,5,2,3,5.861,5.929,-0.068,0.0805,0.0065,0.2205,-0.0414,-0.0635,-0.0016,0.466,0.687,-0.3,71
3,4p672NRbIAIVCFIsFihp,5,4,1,5.218,5.317,-0.1,0.1131,0.0317,0.2211,-0.0472,-0.0761,-0.0031,0.459,0.68,0.046154,36
3,8UwxzTV1MdoVkBXntfOe,5,3,2,7.877,7.96,-0.083,0.0124,0.0074,0.0265,-0.0506,-0.0552,-0.0411,0.02,0.046,-0.230769,49
2,3gSnEnS3UTlqHBknG8pf,5,3,2,3.832,4.062,-0.23,0.1755,0.1337,0.2154,-0.0534,-0.1051,-0.0001,0.5,0.715,-0.569231,94
4,O1yyRkTLvQdrlqua3V0c,5,4,1,-2.04,-1.905,-0.135,0.0995,0.0827,0.1398,-0.0945,-0.1091,-0.0615,0.717,0.857,0.133333,48
3,lgOxKPam6BGiv3xhocdG,5,4,1,-1.015,-0.585,-0.43,0.1465,0.145,0.1495,-0.2161,-0.2209,-0.2065,0.62,0.769,0.523077,16
5,I0jty1iDUrUB5cMFgdCH,1,1,0,0.823,1.211,-0.388,0.1631,0.1478,0.194,-0.2528,-0.3078,-0.1333,0.43,0.624,0.0,
2,FoIIY3NZ2zlaiM8m5ssY,5,5,0,-2.378,-1.984,-0.394,0.0641,0.0462,0.1147,-0.295,-0.3431,-0.1783,0.746,0.861,0.8,3
2,nWa9M3JHZkZUkh4tvZzv,5,5,0,-2.535,-1.995,-0.54,0.0502,0.0331,0.101,-0.4086,-0.4744,-0.247,0.761,0.862,0.723077,6
4,r059KXaLJFhyH037WaXB,5,4,1,-2.082,-1.324,-0.758,0.0531,0.0345,0.1014,-0.5404,-0.627,-0.3421,0.719,0.82,0.1,51
4,KZEeKW9mDbCCJPWEBVnm,5,2,3,-1.342,0.322,-1.664,0.0127,0.003,0.0321,-0.8643,-0.908,-0.7767,0.652,0.684,0.0,29
