packet,nano,n_play,n_buzz,n_censor,beta_ai,beta_human,dbeta,gap_area,gap_early,gap_end,delta_area,delta_early,delta_end,ai_solve_end,human_solve_end,org_human_minus_ai,org_adv_rank
5,tfFfPpV8sVyypYyIyUP9,1,1,0,3.77,2.958,0.812,0.2044,0.1654,0.3955,0.7319,0.8096,0.3182,0.186,0.581,0.846154,
3,o4nZbIcZSX4boHBjTZVn,5,3,2,3.192,2.098,1.095,0.361,0.3296,0.3313,0.7068,1.0406,0.0361,0.474,0.805,0.215385,39
4,8eOnJExgG3MFgY747W8t,5,4,1,5.448,4.32,1.129,0.1873,0.0631,0.3265,0.7049,1.0769,0.0175,0.479,0.805,0.183333,44
3,5gmjQXFfMhDfYWopYPRR,5,1,4,7.669,6.928,0.741,0.013,0.004,0.1052,0.6697,0.7354,0.3645,0.022,0.128,0.2,25
1,5PMM62rTZCur1sGVOjE4,5,1,4,7.652,6.927,0.726,0.0133,0.0041,0.1049,0.6535,0.7195,0.3572,0.023,0.128,0.2,24
4,O1yyRkTLvQdrlqua3V0c,5,4,1,3.117,1.996,1.121,0.4109,0.4058,0.3671,0.5823,0.8348,0.1286,0.412,0.779,0.133333,48
3,lgOxKPam6BGiv3xhocdG,5,4,1,4.816,3.958,0.858,0.2302,0.116,0.3507,0.4999,0.7426,0.0545,0.424,0.775,0.523077,16
4,r059KXaLJFhyH037WaXB,5,4,1,4.673,4.009,0.664,0.1672,0.0731,0.3685,0.4914,0.6439,0.0788,0.365,0.733,0.1,51
2,tvjdNWhB4uGKe6y8at2B,5,4,1,4.357,2.996,1.361,0.3157,0.3,0.3159,0.456,0.8688,0.0006,0.5,0.815,0.261538,37
3,lmJujW41V3etZ89PTHFz,5,5,0,3.367,2.17,1.197,0.3836,0.4076,0.3233,0.4111,0.7121,0.0178,0.487,0.811,0.0,43
4,lhD7XUa6TEodN6cfFSzb,5,4,1,5.368,4.748,0.62,0.1617,0.0554,0.3755,0.4068,0.5516,0.092,0.311,0.686,0.15,40
4,t5g7AuUI7qtpnK9CXh0l,5,4,1,4.606,3.806,0.8,0.2776,0.1866,0.3632,0.3999,0.5857,0.0771,0.391,0.754,0.1,52
4,EpS4cHZdIsGK9tbAVLF5,5,5,0,3.5,2.902,0.598,0.2984,0.2309,0.3409,0.3326,0.5002,0.0368,0.446,0.787,0.3,35
2,ZBkYl7ZwedkrrhTlkylv,5,5,0,4.778,3.868,0.911,0.2704,0.2153,0.3158,0.3085,0.5899,0.0002,0.5,0.816,0.923077,2
4,Ef0Iqz1ZONhttNfXlfLp,5,4,1,4.633,4.093,0.54,0.232,0.1232,0.3518,0.2945,0.4369,0.0416,0.412,0.763,0.1,50
1,xXVg1KHjxl7PR2ueDO1C,5,3,2,5.777,5.459,0.318,0.0637,0.0156,0.3647,0.2705,0.3174,0.0509,0.284,0.649,0.369231,30
4,atvPnPQcM0FFyFz6oRh5,5,3,2,3.496,2.854,0.643,0.3182,0.2902,0.3194,0.249,0.4385,0.0054,0.493,0.812,-0.35,83
2,qpQRWF7dpNQAkyozTnz7,5,5,0,4.777,4.248,0.529,0.2422,0.1367,0.3298,0.2459,0.4016,0.0141,0.468,0.798,0.307692,32
4,SthSdFIXXygj3uduwLeK,5,4,1,4.779,4.473,0.307,0.1131,0.0426,0.3669,0.2455,0.302,0.056,0.295,0.662,0.4,20
4,SxqSqGQ1LYJ59RO4htDQ,5,4,1,3.893,3.194,0.699,0.2988,0.2641,0.3165,0.245,0.4558,0.0011,0.498,0.815,-0.116667,60
1,vgzdaVOKiGQUuC8gSLqa,5,2,3,7.32,7.055,0.265,0.0121,0.0034,0.0942,0.2365,0.2618,0.1303,0.027,0.121,-0.492308,89
5,dYpC7okqKycOB2sUgCQR,1,1,0,6.423,5.985,0.438,0.1274,0.1188,0.1454,0.23,0.2363,0.2173,0.04,0.185,0.615385,
3,zlBPTJtFek9Wy05AaPTD,5,2,3,5.078,4.39,0.687,0.2676,0.2044,0.3164,0.2171,0.4093,0.0009,0.498,0.815,-0.415385,81
3,FSlPn89xy82DPpP8gMJD,5,5,0,2.551,2.176,0.375,0.3531,0.339,0.34,0.1799,0.2678,0.0316,0.446,0.786,-0.323077,76
3,cW8GwQmlfOm4TCbVMrVt,5,2,3,3.204,2.737,0.467,0.3414,0.3225,0.3322,0.1766,0.2817,0.0208,0.464,0.797,-0.523077,91
2,LNSFjAxXvMVnSAcBfA2j,5,3,2,5.705,5.38,0.324,0.1815,0.0449,0.3167,0.1614,0.2834,0.0006,0.498,0.814,0.6,9
1,I2QtfMpPDixkYknKBme8,5,3,2,4.447,4.015,0.432,0.2771,0.2067,0.3236,0.1596,0.274,0.007,0.482,0.806,-0.369231,85
2,OPpqTfpP7LdBBFrDeJAO,5,3,2,5.738,5.376,0.362,0.2039,0.0882,0.3158,0.1512,0.2832,0.0001,0.5,0.816,-0.015385,59
2,NXltSnhuRcd4K2l1mZHE,5,5,0,-0.768,-1.064,0.296,0.2878,0.2872,0.2892,0.1481,0.1507,0.1429,0.592,0.881,0.0,42
4,REYC2yK3nFZQvvqkNrXa,5,3,2,4.135,3.928,0.206,0.1859,0.1451,0.2774,0.138,0.1555,0.1005,0.118,0.395,-0.266667,74
4,Ln23r1ukl5brDWMdHGR0,5,5,0,4.069,3.621,0.449,0.2926,0.2606,0.3158,0.1164,0.2275,0.0001,0.5,0.816,0.083333,41
3,ZqmYznzm1ets28jyV66W,5,3,2,5.278,5.01,0.268,0.215,0.0994,0.3182,0.1144,0.2032,0.0012,0.494,0.812,0.215385,38
5,piMkTxcl7hSIErHXzovZ,1,1,0,4.511,4.079,0.432,0.2836,0.2438,0.3157,0.105,0.2072,0.0001,0.5,0.816,0.153846,
1,w2mhA0hWqQ93KzBmqmec,5,2,3,3.52,2.987,0.533,0.3271,0.3315,0.3157,0.0815,0.1667,0.0,0.5,0.816,-0.369231,87
5,VzrCumSBX87JnIf8ehKt,1,1,0,6.015,5.933,0.081,0.0486,0.0092,0.3514,0.0701,0.0813,0.0143,0.258,0.609,0.923077,
2,WcEaILk7JG20ddfSX9JM,5,5,0,4.426,4.343,0.083,0.169,0.0525,0.3218,0.0515,0.0791,0.0012,0.484,0.806,-0.061538,58
1,WWi7fNWTDIPJe3p9Pi2c,5,4,1,3.575,3.367,0.208,0.3083,0.2881,0.3164,0.0508,0.0967,0.0004,0.498,0.815,-0.046154,55
2,EKY1UGSc5TChPU33ARyw,5,3,2,5.056,4.962,0.095,0.2298,0.1382,0.3159,0.0335,0.0634,0.0,0.499,0.815,-0.169231,68
1,6EaYU85nVBNW6DcPqaA5,5,5,0,4.268,4.173,0.095,0.2618,0.1972,0.3163,0.0304,0.0572,0.0001,0.498,0.815,0.307692,31
4,nDlQGIq6PEEQEOIiSbAf,5,4,1,2.715,2.551,0.164,0.329,0.3351,0.3159,0.0298,0.0586,0.0001,0.499,0.815,-0.2,62
3,Z1PH5PnkeCAYIm1b7Ynk,5,4,1,5.171,5.06,0.111,0.2642,0.2084,0.3157,0.0244,0.0491,0.0,0.5,0.816,-0.169231,69
5,f2gHTH1m7ERBnpnPaa3e,1,1,0,3.827,3.772,0.056,0.2666,0.1988,0.3187,0.0206,0.0366,0.0004,0.492,0.811,0.230769,
4,DJPSA5ZzDdNpt5oakqVQ,5,2,3,3.732,3.673,0.059,0.277,0.2279,0.3162,0.0181,0.0342,0.0001,0.499,0.815,-0.516667,90
2,bM0YFWPHlm9W4BbTBPcT,5,5,0,3.663,3.587,0.076,0.3035,0.2836,0.3157,0.0142,0.0286,0.0,0.5,0.816,0.030769,54
3,IPrurnAQ4gUyv58ITNHx,5,1,4,4.017,3.956,0.061,0.2873,0.2519,0.3157,0.0132,0.0263,0.0,0.5,0.816,-0.261538,66
3,Wg8cJ7C4f7kEHLehSKAu,5,3,2,3.06,3.022,0.038,0.2975,0.2705,0.3159,0.0109,0.0208,0.0,0.499,0.815,-0.092308,64
2,3SJwpETiqeXeVQQeSL2C,5,1,4,4.777,4.74,0.037,0.2554,0.1901,0.3157,0.0103,0.02,0.0,0.5,0.816,-0.415385,80
1,Em8Ctxhz4bo7N65jONWg,5,4,1,4.588,4.572,0.016,0.1588,0.0416,0.322,0.0101,0.0154,0.0002,0.484,0.806,-0.369231,84
2,EmsEd0XimlqZJSW20BPk,5,5,0,5.103,5.097,0.007,0.2602,0.2007,0.3157,0.0015,0.0031,0.0,0.5,0.816,0.338462,34
1,w1r2V5nR5q9pBrSgEi82,5,3,2,4.516,4.512,0.005,0.2478,0.1735,0.3159,0.0015,0.0028,0.0,0.499,0.815,-0.323077,75
1,GzYzrmbzHeXtPnp56Z10,5,3,2,5.152,5.149,0.003,0.2379,0.157,0.3157,0.001,0.002,0.0,0.5,0.816,-0.061538,57
3,AJdjjhtK8PcFCMebETh5,5,1,4,4.619,4.615,0.004,0.2677,0.2143,0.3157,0.001,0.002,0.0,0.5,0.816,-0.030769,46
3,AqgleduJLHjpBkkvNkhC,5,3,2,4.165,4.16,0.004,0.2989,0.2743,0.3157,0.0006,0.0013,0.0,0.5,0.816,0.061538,53
5,bYtiJRSNQ0xjAFD4lUgH,1,1,0,3.362,3.361,0.0,0.3088,0.293,0.3159,0.0001,0.0002,0.0,0.499,0.815,0.230769,
1,5bTYZUD1fC8LxDPNbeBz,5,0,5,5.011,5.018,-0.006,0.2282,0.1318,0.3164,-0.0023,-0.0043,-0.0,0.498,0.814,-0.769231,96
5,Hmv1RMq59r9VklABzrzn,1,1,0,7.381,7.384,-0.003,0.0094,0.0023,0.0789,-0.0027,-0.003,-0.0015,0.026,0.105,0.0,
5,I0jty1iDUrUB5cMFgdCH,1,1,0,7.088,7.092,-0.004,0.0119,0.0032,0.0892,-0.0035,-0.0039,-0.002,0.03,0.119,0.0,
5,ypEHZxOKGVgBppK2k6fr,1,1,0,7.212,7.217,-0.005,0.0104,0.0027,0.0851,-0.0044,-0.0049,-0.0024,0.028,0.113,0.0,
3,fD7iPA1popZRRUN4eZE1,5,2,3,3.794,3.833,-0.04,0.2946,0.2659,0.3157,-0.0078,-0.0156,-0.0,0.5,0.816,-0.723077,98
1,Gwbxzd0ChGS4KynANjU5,5,3,2,5.346,5.38,-0.034,0.2051,0.0887,0.3162,-0.0139,-0.0257,-0.0,0.499,0.815,-0.061538,56
2,XgvmgXLeD6vauaKksUTm,5,3,2,4.836,4.918,-0.081,0.2554,0.1912,0.3157,-0.0208,-0.0411,-0.0,0.5,0.816,-0.723077,97
4,amzwpECJchH2gf3azeJh,5,4,1,4.052,4.098,-0.046,0.2341,0.1354,0.3297,-0.0215,-0.0342,-0.0018,0.461,0.791,0.183333,45
2,5UqzxUX4qK1CA2UYOByP,5,2,3,5.504,5.579,-0.074,0.2269,0.1379,0.3157,-0.0237,-0.046,-0.0,0.5,0.816,-0.338462,72
1,LcvtxyoXMR6SDbyJhf4B,5,3,2,2.392,2.502,-0.11,0.3269,0.3106,0.332,-0.0408,-0.0606,-0.0092,0.45,0.782,-0.369231,86
1,dqshJgJWfziosu0GhtIh,5,4,1,4.856,5.009,-0.152,0.2382,0.1571,0.3158,-0.0474,-0.0913,-0.0,0.5,0.815,-0.415385,79
5,CRNC5oHzpTDjvGonwNdA,1,1,0,4.935,5.037,-0.102,0.183,0.0522,0.317,-0.0509,-0.0884,-0.0003,0.496,0.813,-0.769231,
4,U423cT3kEZQrNXlsHNZU,5,2,3,5.341,5.434,-0.093,0.1523,0.0246,0.3224,-0.0538,-0.0855,-0.0013,0.482,0.804,-0.3,71
1,hXDm3m6AEpv2TxJ0HKdZ,5,3,2,4.787,4.949,-0.161,0.2318,0.1424,0.316,-0.0549,-0.1037,-0.0001,0.499,0.815,-0.569231,93
2,3gSnEnS3UTlqHBknG8pf,5,3,2,3.385,3.702,-0.317,0.2867,0.2515,0.3157,-0.0672,-0.1336,-0.0001,0.5,0.816,-0.569231,94
3,LB2uc5AFzP7RRrDwahoJ,5,4,1,5.434,5.614,-0.18,0.2008,0.0833,0.3159,-0.0727,-0.1354,-0.0001,0.499,0.815,-0.369231,88
2,BeLRIWMr4JXTcHOWxyUy,5,4,1,-1.148,-0.964,-0.184,0.2377,0.2368,0.2396,-0.092,-0.0931,-0.0899,0.637,0.876,-0.2,61
3,4p672NRbIAIVCFIsFihp,5,4,1,4.611,4.872,-0.261,0.2103,0.0966,0.3202,-0.1123,-0.1933,-0.0029,0.487,0.807,0.046154,36
3,8UwxzTV1MdoVkBXntfOe,5,3,2,6.934,7.151,-0.217,0.0433,0.0283,0.0823,-0.1314,-0.1431,-0.1073,0.031,0.113,-0.230769,49
4,KZEeKW9mDbCCJPWEBVnm,5,2,3,5.31,5.617,-0.307,0.0841,0.0127,0.3469,-0.232,-0.2992,-0.0386,0.339,0.685,0.0,29
1,MEpRrGXZymdGUYb2wAfM,5,2,3,-1.229,-0.185,-1.044,0.1799,0.1783,0.183,-0.5235,-0.5301,-0.5104,0.646,0.829,-0.6,95
